Provinsi,Perkotaan_Semester1,Perkotaan_Semester2,Perdesaan_Semester1,Perdesaan_Semester2,Total_Semester1,Total_Semester2,Tahun
SULAWESI BARAT,286970.0,299813.0,278145.0,297024.0,279747.0,297545.0,2021
MALUKU,431414.0,441674.0,440977.0,457656.0,436876.0,450442.0,2021
MALUKU UTARA,383780.0,398678.0,376259.0,390416.0,378475.0,392506.0,2021
PAPUA BARAT,474175.0,493825.0,476185.0,491591.0,475394.0,492485.0,2021
PAPUA BARAT DAYA,0.0,0.0,0.0,0.0,0.0,0.0,2021
PAPUA,428098.0,434937.0,451443.0,455814.0,445607.0,450729.0,2021
PAPUA SELATAN,0.0,0.0,0.0,0.0,0.0,0.0,2021
PAPUA TENGAH,0.0,0.0,0.0,0.0,0.0,0.0,2021
PAPUA PEGUNUNGAN,0.0,0.0,0.0,0.0,0.0,0.0,2021
INDONESIA,353767.0,363836.0,344277.0,355299.0,349474.0,360007.0,2021
ACEH,448528.0,481276.0,434104.0,462138.0,438658.0,468255.0,2022
SUMATERA UTARA,431588.0,458089.0,415301.0,438098.0,423760.0,448623.0,2022
SUMATERA BARAT,453326.0,490322.0,470942.0,500796.0,462910.0,495824.0,2022
RIAU,450681.0,486130.0,435905.0,468911.0,441535.0,475492.0,2022
JAMBI,478149.0,517739.0,380967.0,410425.0,411537.0,443292.0,2022
SUMATERA SELATAN,374346.0,400354.0,353000.0,368981.0,360600.0,379882.0,2022
BENGKULU,480128.0,508068.0,416744.0,437286.0,435393.0,457885.0,2022
LAMPUNG,412358.0,439148.0,372425.0,392553.0,384769.0,406732.0,2022
KEP. BANGKA BELITUNG,561881.0,605177.0,600254.0,641806.0,579537.0,622068.0,2022
KEP. RIAU,453563.0,486016.0,496488.0,525085.0,458362.0,491238.0,2022
DKI JAKARTA,508239.0,534819.0,0.0,0.0,508239.0,534819.0,2022
JAWA BARAT,331420.0,353253.0,343615.0,361697.0,334224.0,355172.0,2022
JAWA TENGAH,328539.0,350614.0,330526.0,348420.0,329511.0,349523.0,2022
DI YOGYAKARTA,392290.0,412821.0,338551.0,352689.0,378902.0,398363.0,2022
JAWA TIMUR,354405.0,374630.0,341452.0,361913.0,348399.0,368771.0,2022
BANTEN,421343.0,444996.0,387733.0,400849.0,412182.0,433368.0,2022
BALI,346903.0,367036.0,318169.0,334827.0,338417.0,357640.0,2022
NUSA TENGGARA BARAT,349371.0,373497.0,336060.0,361266.0,342789.0,367535.0,2022
NUSA TENGGARA TIMUR,402228.0,423538.0,344813.0,366047.0,358224.0,380566.0,2022
KALIMANTAN BARAT,418006.0,445660.0,387226.0,407998.0,397561.0,421139.0,2022
KALIMANTAN TENGAH,392777.0,416222.0,451136.0,478269.0,426914.0,453342.0,2022
KALIMANTAN SELATAN,379337.0,399109.0,411135.0,431084.0,396308.0,415976.0,2022
KALIMANTAN TIMUR,507661.0,541868.0,526674.0,556626.0,513874.0,546669.0,2022
KALIMANTAN UTARA,591239.0,616790.0,525335.0,548026.0,566292.0,590192.0,2022
SULAWESI UTARA,336174.0,357703.0,327019.0,348939.0,331904.0,353727.0,2022
SULAWESI TENGAH,388768.0,412305.0,410179.0,427956.0,404034.0,423390.0,2022
SULAWESI SELATAN,298268.0,316179.0,300359.0,316911.0,299433.0,316597.0,2022
SULAWESI TENGGARA,301800.0,324704.0,305321.0,327126.0,304126.0,326264.0,2022
GORONTALO,307264.0,321061.0,324541.0,342791.0,317319.0,333794.0,2022
SULAWESI BARAT,317189.0,334024.0,313544.0,327816.0,314221.0,329203.0,2022
MALUKU,460569.0,495440.0,473778.0,497638.0,468335.0,496691.0,2022
MALUKU UTARA,405708.0,429919.0,396637.0,420428.0,399127.0,423139.0,2022
PAPUA BARAT,509314.0,535410.0,500372.0,525865.0,503916.0,529916.0,2022
